Gene,Type,Strain,Stage,Update,Antibody,Domain,Method,Date,Peaks,External_Repository,Notes
gem,TF,gem,embryonic,,goat-anti-GFP-UC,,site-specific recombination,12/04/2019,15132,ENCSR469KTM,ENCODE bams
gfzf,TF,gfzf-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,8376,ENCSR621PCK,ENCODE bams
gl,TF,gl,pupa,,goat-anti-GFP-UC,,site-specific recombination,29/05/2018,6896,ENCSR472URU,ENCODE bams
grau,TF,grau,embryonic,,goat-anti-GFP-UC,,site-specific recombination,17/06/2019,12281,ENCSR199FME,ENCODE bams
grh,TF,grh-GFP,wanderingthirdinstarlarva,,ab290,,site-specific recombination,23/07/2015,3195,ENCSR677CBX,ENCODE bams
grn,TF,grn-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,21/12/2016,7724,ENCSR909QHH,ENCODE bams
gro,TF co-regulator,gro-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,6323,ENCSR981DLO,ENCODE bams
gsb,TF,gsb-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,06/07/2021,2888,ENCSR103OZL,E0-18
gsb-n,TF,gsb-n,embryonic,,goat-anti-GFP-UC,,site-specific recombination,18/09/2018,6186,ENCSR414EAT,ENCODE bams
gt,TF,gt-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,07/06/2022,1861,ENCSR944GCA,E0-18
h,TF,15T-GFP,wanderingthirdinstarlarva,gene is hry,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,10176,ENCSR461AXL,ENCODE bams
h,TF,h-GFP,embryonic,"strain is 15T-GFP, gene is hry",Aviva-KW3-h-D1,,,24/08/2016,15569,ENCSR890MZY,ENCODE bams
ham,TF,ham-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,20/05/2021,1495,ENCSR473WNJ,E0-24
hb,TF,hb-GFP,embryonic,,ab290,,site-specific recombination,07/06/2022,3779,ENCSR391EHB,E0-24
hbn,TF,hbn-GFP,embryonic,,ab290,,site-specific recombination,01/08/2022,3735,ENCSR029JYB,E0-18
her,TF,her-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,5946,ENCSR505XFU,ENCODE bams
hkb,TF,hkb-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,01/11/2021,7220,ENCSR502VRR,E0-24
hkb,TF,yellow_cinnabar_brown_speck,embryonic,,Aviva-KW3-hkb-D1,,,15/06/2017,2259,ENCSR692JFG,ENCODE bams
hng1,TF,CG9437-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,01/02/2018,4270,ENCSR965XSS,ENCODE bams
hng2,TF,CG8359-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,21/12/2016,1610,ENCSR335WXQ,ENCODE bams
hth,TF,yellow_cinnabar_brown_speck,embryonic,,non-commercial hth modENCODE antibody 1,,,16/06/2017,3627,ENCSR249JVE,ENCODE bams
ind,TF,ind-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,03/08/2016,5354,ENCSR486EPD,ENCODE bams
insv,TF,insv-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,11/09/2017,6482,ENCSR492KRE,ENCODE bams
insv,TF,insv-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,925,ENCSR713PDJ,ENCODE bams
insv,TF,insv-GFP,embryonic,,non-commercial insv modENCODE antibody 1,,,24/08/2016,14719,ENCSR989SYT,ENCODE bams
inv,TF,inv-GFP,embryonic,,ab290,,site-specific recombination,07/06/2022,3406,ENCSR126PUC,E0-24
jigr1,TF,jigr1-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,02/12/2020,2350,ENCSR543DKH,E0-24
jim,TF,jim-GFP,wanderingthirdinstarlarva,,goat-anti-GFP-UC,,site-specific recombination,23/07/2015,1764,ENCSR978WED,ENCODE bams
jing,TF,jing-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,01/02/2018,5126,ENCSR749USJ,ENCODE bams
jumu,TF,jumu-MiMIC-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,3507,ENCSR946VDB,ENCODE bams
kay,TF,kay-GFP,adult,,goat-anti-GFP-UC,,site-specific recombination,23/07/2015,3420,ENCSR269HHK,ENCODE bams
kay,TF,kay-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,10/04/2016,4330,ENCSR172KOI,ENCODE bams
ken,TF,ken-GFP,embryonic,,ab290,,site-specific recombination,07/06/2022,2356,ENCSR981TIE,E0-24
ken,TF,ken-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,28/03/2022,5335,ENCSR642CTA,0-24
klu,TF,klu-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,09/07/2021,3126,ENCSR343RCX,E0-24
kmg,TF,CG5204-GFP,adult,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,2273,ENCSR804FUX,ENCODE bams
kni,TF,kni-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,11/09/2017,10467,ENCSR579WFC,ENCODE bams
knrl,TF,knrl-GFP,embryonic,,ab290,,site-specific recombination,07/06/2022,4977,ENCSR105NBC,E0-24
l(1)sc,TF,l(1)sc-GFP,embryonic,,ab290,,site-specific recombination,18/02/2023,7760,,E0-16
l(3)neo38,TF,l(3)neo38-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,11/09/2017,7219,ENCSR643EOU,ENCODE bams
lab,TF,lab-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,11/09/2017,11580,ENCSR990VZW,ENCODE bams
lbe,TF,lbe-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,3838,ENCSR392ANZ,ENCODE bams
lilli,TF,lilli-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,6999,ENCSR801AQB,ENCODE bams
lmd,TF,lmd-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,07/07/2021,6406,ENCSR244OOB,E0-18
lms,TF,lms,embryonic,,goat-anti-GFP-UC,,site-specific recombination,12/04/2019,8575,ENCSR092TNF,ENCODE bams
lola,TF,lola-J-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,12/04/2019,9712,ENCSR292EYZ,ENCODE bams
lola,TF,lola-RI-GFP,embryonic,,ab290,,stable transfection,23/08/2016,280,ENCSR984IRI,ENCODE bams
lola,TF,lola-RI-GFP,embryonic,,ab290,,stable transfection,23/08/2016,794,ENCSR074YRV,ENCODE bams
lola,TF,lola-RI-GFP,wanderingthirdinstarlarva,,goat-anti-GFP-UC,,stable transfection,12/04/2019,14888,ENCSR014ETB,ENCODE bams
lov,TF,lov-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,03/02/2022,4337,ENCSR304JBT,E0-24
lov,TF,yellow_cinnabar_brown_speck,embryonic,,non-commercial lov modENCODE antibody 1,,,01/09/2016,470,ENCSR488NXW,ENCODE bams
luna,TF,luna-MiMIC-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,1312,ENCSR770AUN,ENCODE bams
lz,TF,lz-GFP,prepupa,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,7612,ENCSR890OUH,ENCODE bams
maf-S,TF,maf-S-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,3518,ENCSR636TIL,ENCODE bams
mam,TF co-regulator,mam-MiMIC-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,4644,ENCSR948RHA,ENCODE bams
mid,TF,mid-GFP,embryonic,,ab290,,site-specific recombination,18/02/2023,6316,,E0-24
mirr,TF,mirr-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,01/02/2018,8966,ENCSR593ZMJ,ENCODE bams
mld,TF,mld-GFP,embryonic,,ab290,,site-specific recombination,01/08/2022,2996,ENCSR920JZO,E0-24
mod(mdg4),TF co-regulator,mod(mdg4)-GFP,wanderingthirdinstarlarva,,goat-anti-GFP-UC,,site-specific recombination,22/10/2015,4148,ENCSR861XSB,ENCODE bams
nau,TF,nau-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,11/09/2017,6871,ENCSR035GCI,ENCODE bams
nerfin-1,TF,nerfin-1,embryonic,,goat-anti-GFP-UC,,site-specific recombination,12/04/2019,11132,ENCSR335NNR,ENCODE bams
nerfin-2,TF,nerfin-2-GFP,embryonic,,ab290,,site-specific recombination,07/06/2022,3369,ENCSR769GVA,E8-24
net,TF,net-GFP,prepupa,,goat-anti-GFP-UC,,site-specific recombination,02/08/2016,9852,ENCSR399DAW,ENCODE bams
nmo,kinase,nmo-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,11/12/2018,9602,ENCSR125NWX,ENCODE bams
noc,basal TF,noc,larva,,goat-anti-GFP-UC,,site-specific recombination,12/04/2019,10954,ENCSR909HKS,ENCODE bams
nom,TF,CG8145-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,11/09/2017,8488,ENCSR295UVI,ENCODE bams
nub,TF,nub-GFP,embryonic,,ab290,,site-specific recombination,16/02/2023,7177,,E0-24
oc,TF,oc,embryonic,,goat-anti-GFP-UC,,site-specific recombination,18/09/2018,9045,ENCSR266HYG,ENCODE bams
odd,TF,odd-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,21/12/2016,4814,ENCSR643MOM,ENCODE bams
onecut,TF,onecut-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,01/10/2020,7222,ENCSR189IPH,E0-24
org-1,TF,org-1-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,21/12/2016,3516,ENCSR486EQS,ENCODE bams
otp,TF,otp-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,22/12/2021,5060,ENCSR973FOX,0-24
ouib,TF,CG11762-GFP,prepupa,,goat-anti-GFP-UC,,site-specific recombination,09/04/2016,5020,ENCSR826CFP,ENCODE bams
ovo,TF,ovo-GFP,adult,,goat-anti-GFP-UC,,site-specific recombination,21/10/2015,2628,ENCSR078TMF,ENCODE bams
p53,TF,p53-MiMIC-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,1901,ENCSR808XNJ,ENCODE bams
pad,TF,pad-GFP,adult,,goat-anti-GFP-UC,,site-specific recombination,11/09/2017,8202,ENCSR094HIY,ENCODE bams
pan,TF,Hr3-GFP,embryonic,,non-commercial pan modENCODE antibody 1,,site-specific recombination,23/08/2016,166,ENCSR058DSI,ENCODE bams
pan,TF,pan-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,04/10/2021,7084,ENCSR042VRW,E0-24
pan,TF,yellow_cinnabar_brown_speck,embryonic,,non-commercial pan modENCODE antibody 1,,,22/08/2016,261,ENCSR074LKQ,ENCODE bams
pan,TF,yellow_cinnabar_brown_speck,embryonic,,non-commercial pan modENCODE antibody 1,,,22/08/2016,317,ENCSR033IIP,ENCODE bams
pan,TF,yellow_cinnabar_brown_speck,unknown,,non-commercial pan modENCODE antibody 1,,,23/08/2016,979,ENCSR455AWG,ENCODE bams
pan,TF,yellow_cinnabar_brown_speck,wanderingthirdinstarlarva,,non-commercial pan modENCODE antibody 1,,,23/08/2016,446,ENCSR636FRF,ENCODE bams
pb,TF,pb-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,2810,ENCSR946EAE,ENCODE bams
pdm2,TF,pdm2-GFP,embryonic,,ab290,,site-specific recombination,24/01/2023,2194,,E0-24
pdm3,TF,pdm3-GFP,prepupa,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,8258,ENCSR518FUJ,ENCODE bams
peb,TF,peb-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,12/11/2020,2845,ENCSR693KEG,E0-24
pho,TF,pho-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,3456,ENCSR681YMA,ENCODE bams
phol,TF,phol-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,07/12/2018,13882,ENCSR017FMO,ENCODE bams
pita,TF,Pita-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,21/12/2016,2358,ENCSR332BCD,ENCODE bams
pnt,TF,pnt-MiMIC-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,22/10/2015,3479,ENCSR997UIM,ENCODE bams
prd,TF,prd-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,08/08/2021,8720,ENCSR013QWF,E0-8
prd,TF,yellow_cinnabar_brown_speck,embryonic,,non-commercial prd modENCODE antibody 1,,,24/08/2016,236,ENCSR271OGF,ENCODE bams
prd,TF,yellow_cinnabar_brown_speck,embryonic,,non-commercial prd modENCODE antibody 2,,,24/08/2016,494,ENCSR521GRU,ENCODE bams
prg,TF,fu2-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,2805,ENCSR359ZMS,ENCODE bams
pros,TF,pros-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,12/04/2019,12794,ENCSR682YQM,ENCODE bams
psq,TF,psq-GFP,embryonic,,Aviva-KW3-psq-D2,,,22/08/2016,1070,ENCSR842URM,ENCODE bams
psq,TF,psq-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,13/01/2016,2548,ENCSR445WCZ,ENCODE bams
psq,TF,psq-GFP,wanderingthirdinstarlarva,,goat-anti-GFP-UC,,site-specific recombination,13/01/2016,14305,ENCSR748WWE,ENCODE bams
psq,TF,psq-GFP,wanderingthirdinstarlarva,,goat-anti-GFP-UC,,site-specific recombination,23/07/2015,7370,ENCSR903DUB,ENCODE bams
psq,TF,yellow_cinnabar_brown_speck,unknown,,Aviva-KW3-psq-D2,,,22/08/2016,335,ENCSR963PNX,ENCODE bams
pum,RNA binding,Pum-MiMIC-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,3565,ENCSR105OGL,ENCODE bams
pzg,TF,pzg-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,01/02/2018,8680,ENCSR578RWH,ENCODE bams
ranshi,TF,ranshi-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,15/12/2021,5373,ENCSR951RYW,E0-24
repo,TF,repo-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,2770,ENCSR522NJB,ENCODE bams
rgr,TF,rgr-GFP,wanderingthirdinstarlarva,,goat-anti-GFP-UC,,site-specific recombination,02/08/2016,7820,ENCSR951FDL,ENCODE bams
rib,TF,rib-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,20/05/2021,4606,ENCSR129UZN,E0-24
rn,TF,rn-GFP,pupa,,goat-anti-GFP-UC,,site-specific recombination,22/12/2021,3777,ENCSR042EXZ,
ro,TF,ro-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,04/10/2021,1969,ENCSR130TNS,E0-24
row,TF,row-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,02/12/2020,13292,ENCSR943HBD,E0-24
run,TF,run,embryonic,,goat-anti-GFP-UC,,site-specific recombination,18/09/2018,3751,ENCSR392IEL,ENCODE bams
sage,TF,sage-GFP,wanderingthirdinstarlarva,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,2449,ENCSR756AUU,ENCODE bams
salm,TF,salm,embryonic,,goat-anti-GFP-UC,,site-specific recombination,18/09/2018,5465,ENCSR276LGX,ENCODE bams
salr,TF,salr-GFP,prepupa,,goat-anti-GFP-UC,,site-specific recombination,03/08/2016,11299,ENCSR042XCV,ENCODE bams
salr,TF,salr-GFP,prepupa,,goat-anti-GFP-UC,,site-specific recombination,29/05/2018,4231,ENCSR943QAF,ENCODE bams
sc,TF,sc-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,11/09/2017,2961,ENCSR581LRS,ENCODE bams
sc,TF,yellow_cinnabar_brown_speck,embryonic,,non-commercial scute modENCODE antibody 1,,,16/06/2017,103,ENCSR415SZP,ENCODE bams
sc,TF,yellow_cinnabar_brown_speck,embryonic,,non-commercial scute modENCODE antibody 1,,,16/06/2017,114,ENCSR122IXI,ENCODE bams
schlank,TF,schlank,embryonic,,goat-anti-GFP-UC,,site-specific recombination,29/05/2018,2136,ENCSR110JFN,ENCODE bams
scro,TF,scro-GFP,embryonic,,ab290,,site-specific recombination,02/03/2023,4026,,E0-24
scrt,TF,scrt-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,01/02/2018,8909,ENCSR658VWK,ENCODE bams
sd,TF,sd-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,07/12/2018,16617,ENCSR591PRH,ENCODE bams
sens,TF,sens-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,22/10/2015,2858,ENCSR972RZE,ENCODE bams
sens-2,TF,sens-2-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,03/02/2022,3171,ENCSR741PHI,E0-24
seq,TF,seq-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,01/11/2021,5287,ENCSR435SJO,E0-24
shn,TF,shn-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,3423,ENCSR373BIM,ENCODE bams
sim,TF,sim-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,22/12/2021,2682,ENCSR436KCT,0-24
sima,TF,sima-RB-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,1237,ENCSR390QUD,ENCODE bams
sisA,TF,sisA-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,08/08/2021,5643,ENCSR709FCW,E0-18
slbo,TF,slbo-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,08/08/2021,8786,ENCSR750SQL,E8-24
slou,TF,slou-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,2826,ENCSR637FPY,ENCODE bams
slp1,TF,slp1-GFP,embryonic,,ab290,,site-specific recombination,02/12/2022,3371,,E0-24
slp2,TF,9T-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,2659,ENCSR283UXP,ENCODE bams
sna,TF,sna-GFP,embryonic,,ab290,,site-specific recombination,07/06/2022,4222,ENCSR081FZU,E0-24
so,TF,so-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,01/11/2021,5376,ENCSR321CFC,E0-24
sob,TF,sob-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,14/06/2021,7002,ENCSR229BTS,E0-24
spab,Neuropeptide,CG8216-GFP,prepupa,,goat-anti-GFP-UC,,site-specific recombination,11/09/2017,8786,ENCSR312RCJ,ENCODE bams
sqz,TF,sqz-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,01/02/2018,8714,ENCSR923VWW,ENCODE bams
sr,TF,sr-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,31/01/2022,5040,ENCSR458OPJ,E8-24
ss,TF,ss-GFP,prepupa,,goat-anti-GFP-UC,,site-specific recombination,11/09/2017,11153,ENCSR893CTZ,ENCODE bams
ss,TF,ss-GFP,prepupa,,goat-anti-GFP-UC,,site-specific recombination,11/09/2017,11850,ENCSR583EFI,ENCODE bams
ssp,TF,ssp-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,09/09/2021,4948,ENCSR541BLD,0-24
stc,TF,stc-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,09/09/2021,5084,ENCSR068FFA,0-24
stwl,TF,stwl,embryonic,,goat-anti-GFP-UC,,site-specific recombination,18/09/2018,8170,ENCSR066ITF,ENCODE bams
su(Hw),TF,SuHw-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,21/12/2016,8346,ENCSR761TCG,ENCODE bams
sug,TF,sug,embryonic,,goat-anti-GFP-UC,,site-specific recombination,17/06/2019,12988,ENCSR008NYP,ENCODE bams
sv,TF,sv-GFP,wanderingthirdinstarlarva,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,3742,ENCSR570ADO,ENCODE bams
svp,TF,svp-GFP,prepupa,,goat-anti-GFP-UC,,site-specific recombination,23/07/2015,9680,ENCSR335QAE,ENCODE bams
tHMG1,TF,CG7045-GFP,adult,,goat-anti-GFP-UC,,site-specific recombination,21/12/2016,3609,ENCSR978WWC,ENCODE bams
tai,TF,tai-GFP,wanderingthirdinstarlarva,,goat-anti-GFP-UC,,site-specific recombination,22/10/2015,2572,ENCSR443MIN,ENCODE bams
tap,TF,tap,embryonic,,goat-anti-GFP-UC,,site-specific recombination,17/06/2019,4045,ENCSR109RMR,ENCODE bams
term,TF,term-GFP,embryonic,,ab290,,site-specific recombination,20/10/2022,92,,E0-8
tgo,TF,tgo-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,09/09/2021,5794,ENCSR306TVS,0-24
tin,TF,tin-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,10/04/2016,5179,ENCSR064GFC,ENCODE bams
tio,TF,tio-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,21/12/2016,4597,ENCSR748DHJ,ENCODE bams
tj,TF,tj-GFP,adult,,goat-anti-GFP-UC,,site-specific recombination,21/12/2016,13837,ENCSR199TFG,ENCODE bams
tll,TF,8T-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,12/04/2019,8354,ENCSR220HPB,ENCODE bams
tll,TF,8T-GFP,embryonic,,non-commercial eGFP modENCODE antibody 1,,site-specific recombination,15/06/2017,1636,ENCSR553HEY,ENCODE bams
tna,Transferase,tna-GFP,embryonic,,ab290,,site-specific recombination,26/08/2022,3500,ENCSR934WJF,E0-24
toe,TF,toe-GFP,adult,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,3642,ENCSR867MPT,ENCODE bams
topi,TF,topi-GFP,prepupa,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,8127,ENCSR165OGT,ENCODE bams
toy,TF,toy-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,21/05/2021,1895,ENCSR897YWT,E0-24
trem,TF,trem,embryonic,,goat-anti-GFP-UC,,site-specific recombination,17/06/2019,6536,ENCSR104XOO,ENCODE bams
trh,TF,trh-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,21/10/2015,1753,ENCSR153KTS,ENCODE bams
ttk,TF,ttk-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,04/10/2021,4745,ENCSR362ZUH,E0-24
tup,TF,Tup-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,1615,ENCSR502JHR,ENCODE bams
twi,TF,twi,embryonic,,goat-anti-GFP-UC,,site-specific recombination,17/06/2019,9659,ENCSR119OUI,ENCODE bams
tx,TF,tx-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,3019,ENCSR793JPA,ENCODE bams
unc-4,TF,unc-4-GFP,embryonic,,ab290,,site-specific recombination,26/08/2022,4921,ENCSR981GRF,E6-18
unpg,TF,unpg-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,18/09/2018,9843,ENCSR394MHV,ENCODE bams
ush,TF,ush-GFP,embryonic,,ab290,,site-specific recombination,28/01/2023,6031,,E0-24
usp,TF,usp-GFP,embryonic,,ab290,,stable transfection,16/06/2017,215,ENCSR303MJE,ENCODE bams
usp,TF,usp-GFP,unknown,,ab290,,stable transfection,23/08/2016,523,ENCSR711BGO,ENCODE bams
usp,TF,usp-GFP,wanderingthirdinstarlarva,,goat-anti-GFP-UC,,stable transfection,01/09/2016,307,ENCSR998ZQZ,ENCODE bams
usp,TF,usp-GFP,wanderingthirdinstarlarva,,goat-anti-GFP-UC,,stable transfection,12/04/2019,19417,ENCSR836VAV,ENCODE bams
vnd,TF,vnd-GFP,embryonic,,ab290,,site-specific recombination,07/06/2022,3825,ENCSR555ZFT,E0-24
vri,TF,vri-GFP,prepupa,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,12909,ENCSR224OFQ,ENCODE bams
vvl,TF,vvl-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,04/10/2021,11692,ENCSR350VLI,E0-24
wdn,TF,wdn-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,14/04/2021,3254,ENCSR625HUA,E0-24
wek,TF,wek-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,01/02/2018,3582,ENCSR316FKJ,ENCODE bams
woc,TF,woc-GFP,wanderingthirdinstarlarva,,goat-anti-GFP-UC,,site-specific recombination,23/07/2015,9087,ENCSR933LXL,ENCODE bams
wor,TF,wor-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,02/12/2020,3081,ENCSR321DCY,E0-18
yki,TF co-regulator,yellow_cinnabar_brown_speck,embryonic,,non-commercial cad modENCODE antibody 1,,,27/12/2017,1141,ENCSR422OTX,ENCODE bams
z,TF,z-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,22/12/2021,4457,ENCSR973ITX,0-24
zen,TF,zen-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,07/12/2018,10805,ENCSR973GNK,ENCODE bams
zen2,TF,zen2-GFP,embryonic,,ab290,,site-specific recombination,31/08/2022,3305,ENCSR615WMD,E0-6
zf30C,TF,zf30C-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,01/02/2018,6445,ENCSR798RBJ,ENCODE bams
zfh1,TF,zfh1-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,03/02/2022,7462,ENCSR945FQZ,E0-24
zfh2,TF,zfh2-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,4330,ENCSR259WOE,ENCODE bams
zld,TF,vfl-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,3300,ENCSR216AQL,ENCODE bams
﻿ab,TF,ab-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,1872,ENCSR140RMO,ENCODE bams